CustomerID,LastTrans,FirstTrans,LastTransCost,SizeLastTrans,NoTrans,TimePeriod,TransPerUnitTime,NoOfTrans,CostPerUnitTime,CostPerTrans,TotalCost,SizePerUnitTime,SizePerTrans,Churn
MzEzMDg5NTQ,34,36,47488,128,3,3,1.0,3,155.33333333333334,155.33333333333334,466,64750.0,64750.0,1
MzEzMDkxMzg,34,35,44396,107,2,2,1.0,2,140.0,140.0,280,44562.0,44562.0,1
MzEzMDkzMTg,34,36,45722,101,3,3,1.0,3,192.33333333333334,192.33333333333334,577,63608.333333333336,63608.333333333336,1
MzEzMTAwNTM,36,36,19770,60,1,1,1.0,1,60.0,60.0,60,19770.0,19770.0,1
MzEzMTA0NjI,34,36,66741,200,3,3,1.0,3,166.66666666666666,166.66666666666666,500,55720.333333333336,55720.333333333336,1
MzEzMTA2NTQ,34,36,59780,121,3,3,1.0,3,272.0,272.0,816,64183.0,64183.0,1
MzEzMTA2NTk,35,36,32268,215,2,2,1.0,2,217.5,217.5,435,30745.0,30745.0,1
MzEzMTA4MTQ,34,36,145880,320,3,3,1.0,3,384.0,384.0,1152,136533.33333333334,136533.33333333334,1
MzEzMTA5MzU,34,36,38618,368,3,3,1.0,3,363.3333333333333,363.3333333333333,1090,43726.666666666664,43726.666666666664,1
MzEzMTEwNzk,36,36,44063,128,1,1,1.0,1,128.0,128.0,128,44063.0,44063.0,1
MzEzMTEyODE,34,36,73689,498,3,3,1.0,3,453.6666666666667,453.6666666666667,1361,57361.666666666664,57361.666666666664,1
MzEzMTEyOTU,34,36,390394,2842,3,3,1.0,3,3237.6666666666665,3237.6666666666665,9713,473507.0,473507.0,1
MzEzMTEyOTc,34,36,33003,239,3,3,1.0,3,556.6666666666666,556.6666666666666,1670,69986.0,69986.0,1
MzEzMTEzMDY,34,36,72990,460,3,3,1.0,3,529.3333333333334,529.3333333333334,1588,80470.33333333333,80470.33333333333,1
MzEzMTEzNTQ,34,36,124020,1000,3,3,1.0,3,1105.6666666666667,1105.6666666666667,3317,141522.0,141522.0,1
MzEzMTE0MDk,34,34,199320,438,1,1,1.0,1,438.0,438.0,438,199320.0,199320.0,1
MzEzMTE0MjI,34,36,656666,5837,3,3,1.0,3,4843.0,4843.0,14529,564295.6666666666,564295.6666666666,1
MzEzMTE0NjA,34,36,26254,198,3,3,1.0,3,209.33333333333334,209.33333333333334,628,33646.333333333336,33646.333333333336,1
MzEzMTE3NjM,34,36,160837,447,2,3,0.6666666666666666,2,251.0,376.5,753,92436.0,138654.0,1
MzEzMTE4Mjc,35,35,46339,288,1,1,1.0,1,288.0,288.0,288,46339.0,46339.0,1
MzEzMTE4Mzg,34,36,452092,848,3,3,1.0,3,905.3333333333334,905.3333333333334,2716,464817.6666666667,464817.6666666667,1
MzEzMTE5NDk,34,36,110041,170,3,3,1.0,3,149.66666666666666,149.66666666666666,449,96198.0,96198.0,1
MzEzMTIwNjM,34,35,77177,147,2,2,1.0,2,123.5,123.5,247,61582.0,61582.0,1
MzEzMTIxNzI,34,36,22475,201,3,3,1.0,3,275.6666666666667,275.6666666666667,827,40483.666666666664,40483.666666666664,1
MzEzMTIxOTM,34,35,44400,80,2,2,1.0,2,319.0,319.0,638,196706.5,196706.5,1
MzEzMTIxOTU,34,36,47848,129,3,3,1.0,3,130.33333333333334,130.33333333333334,391,46012.666666666664,46012.666666666664,1
MzEzMTIyNDY,34,36,31537,202,2,3,0.6666666666666666,2,135.0,202.5,405,19258.333333333332,28887.5,1
MzEzMTIyNDk,34,35,6162,21,2,2,1.0,2,20.5,20.5,41,6220.0,6220.0,1
MzEzMTIyNTE,35,35,53204,181,1,1,1.0,1,181.0,181.0,181,53204.0,53204.0,1
MzEzMTIzNzU,34,36,151454,646,3,3,1.0,3,609.3333333333334,609.3333333333334,1828,156796.66666666666,156796.66666666666,1
MzEzMTIzODQ,35,36,77263,218,2,2,1.0,2,246.5,246.5,493,83914.0,83914.0,1
MzEzMTI0MzQ,34,36,37499,306,3,3,1.0,3,268.0,268.0,804,35245.333333333336,35245.333333333336,1
MzEzMTI0NTg,35,35,36326,199,1,1,1.0,1,199.0,199.0,199,36326.0,36326.0,1
MzEzMTI1NTk,4,13,1962,20,2,10,0.2,2,7.4,37.0,74,884.3,4421.5,1
MzEzMTI3MTQ,35,35,34842,125,1,1,1.0,1,125.0,125.0,125,34842.0,34842.0,1
MzEzMTI3MTY,34,36,1292,20,3,3,1.0,3,43.666666666666664,43.666666666666664,131,7959.333333333333,7959.333333333333,1
MzEzMTI4NDI,34,36,21645,203,3,3,1.0,3,210.33333333333334,210.33333333333334,631,22110.666666666668,22110.666666666668,1
MzEzMTI4NDg,34,36,401707,1527,3,3,1.0,3,1515.6666666666667,1515.6666666666667,4547,389925.3333333333,389925.3333333333,1
MzEzMTI4OTE,34,36,156353,1142,3,3,1.0,3,1064.3333333333333,1064.3333333333333,3193,142670.66666666666,142670.66666666666,1
MzEzMTMwMzY,34,36,101077,1010,3,3,1.0,3,991.3333333333334,991.3333333333334,2974,101585.0,101585.0,1
MzEzMTMwNzA,34,36,45150,1030,3,3,1.0,3,1156.6666666666667,1156.6666666666667,3470,59335.0,59335.0,1
MzEzMTMxMjA,34,36,147526,1255,3,3,1.0,3,1839.3333333333333,1839.3333333333333,5518,220007.33333333334,220007.33333333334,1
MzEzMTMyMTk,35,36,45693,55,2,2,1.0,2,131.0,131.0,262,53692.5,53692.5,1
MzEzMTM0NzA,34,36,101362,765,3,3,1.0,3,756.0,756.0,2268,100545.0,100545.0,1
MzEzMTM3MDE,34,36,55949,180,3,3,1.0,3,301.6666666666667,301.6666666666667,905,91180.0,91180.0,1
MzEzMTM5Mzc,34,36,180433,236,3,3,1.0,3,206.0,206.0,618,163934.66666666666,163934.66666666666,1
MzEzMTM5Mzk,34,36,201207,1350,3,3,1.0,3,1458.0,1458.0,4374,201285.66666666666,201285.66666666666,1
MzEzMTM5OTM,34,34,25020,200,1,1,1.0,1,200.0,200.0,200,25020.0,25020.0,1
MzEzMTQwMjg,35,36,31591,202,2,2,1.0,2,200.5,200.5,401,24253.5,24253.5,1
MzEzMTQwNzg,34,36,97075,600,3,3,1.0,3,491.3333333333333,491.3333333333333,1474,84243.0,84243.0,1
MzEzMTQxMjk,34,36,20849,85,3,3,1.0,3,309.0,309.0,927,42143.0,42143.0,1
MzEzMTQxNTg,34,36,29645,228,3,3,1.0,3,400.3333333333333,400.3333333333333,1201,49989.333333333336,49989.333333333336,1
MzEzMTQxNjc,36,36,16569,200,1,1,1.0,1,200.0,200.0,200,16569.0,16569.0,1
MzEzMTQyMzk,35,35,44986,149,1,1,1.0,1,149.0,149.0,149,44986.0,44986.0,1
MzEzMTQzMDI,34,36,207536,1596,3,3,1.0,3,1307.6666666666667,1307.6666666666667,3923,168993.33333333334,168993.33333333334,1
MzEzMTQzMTQ,34,36,191306,1064,3,3,1.0,3,985.6666666666666,985.6666666666666,2957,172391.66666666666,172391.66666666666,1
MzEzMTQzNDE,34,34,18154,197,1,1,1.0,1,197.0,197.0,197,18154.0,18154.0,1
MzEzMTQzNDU,34,36,145986,724,3,3,1.0,3,1216.3333333333333,1216.3333333333333,3649,218795.33333333334,218795.33333333334,1
